row,start,end,start_s,end_s,on_screen,narration
1a,0:01.50,0:13.98,1.50,13.98,/ Dashboard already loaded. Cursor still on the four stat cards.,This is AdWatch. Every paid-search team does the same weekly ritual. Open competitors' Google Ads Transparency pages. Search your keywords in incognito. Check Google Trends. Paste it into a deck.
1b,0:13.98,0:21.37,13.98,21.37,Slow scroll to Recent alerts; two or three HIGH cards in frame.,That is a snapshot. It never says what changed. AdWatch is the monitor and the analyst. These alerts are this week's output.
2a,0:22.37,0:26.16,22.37,26.16,/onboarding. Type company name + website.,Setup starts with a company name and a website. Nothing else.
2b,0:28.16,0:39.71,28.16,39.71,"Submit. Review screen with proposed category, keywords, competitors, brand assets. Cursor down the proposal. Do not confirm.","Claude reads the site. It proposes the category, the keywords, the likely competitors, and your own brand assets. You review and confirm. A watchlist takes a minute, not an afternoon."
3b,0:40.71,0:51.96,40.71,51.96,"Keywords tab. Cursor over the paid-block table, then the trend line.","Keywords tab. The paid block per keyword. Who is bidding, what position, top or bottom. Google Trends interest and rising queries. All public data, through SerpApi."
4a,0:52.96,1:00.19,52.96,60.19,Changes tab. Hold at the top of the list.,"Here is the hard part. Every run is diffed against the last. The diff engine emits typed events, each with a severity."
4b,1:00.19,1:12.67,60.19,72.67,"Scroll slowly. Pause on a HIGH row, then on a new advertiser row.","A creative launched or dropped. A new advertiser on one of our keywords. A position shift. A demand spike. A breakout query. Seventy-five so far. Facts about what changed, not screenshots."
5a,1:13.67,1:26.82,73.67,86.82,"Insights tab. Cursor on the top card: severity, run number, confidence, then Why it matters.","Claude reads only the structured diff. It cannot invent numbers. Per cluster it writes what happened, why it matters, and two or three actions, each with effort and urgency. Now, this week, or monitor."
5b,1:27.82,1:29.60,87.82,89.60,"Cursor on the first action box, then click evidence and leave it open.","Here is one. [Read the first action box aloud, word for word.]"
6a,1:34.60,1:45.95,94.60,105.95,"Click Collect now. Keep the header (last run, searches used) in frame.","The live run. Collect now hits SerpApi in real time. One Transparency Center call per competitor. One Search and two Trends calls per keyword. Then the diff, then the analyst."
6b,1:45.95,2:01.76,105.95,121.76,Run in progress. Don't move the mouse.,"SerpApi is the sensor. Three engines feed the product. Without structured, real-time access to that public data there is no diff. Without the diff there is nothing for the AI to analyze. The AI experience is only as good as the freshness of the signal."
6c,2:01.76,2:04.72,121.76,124.72,Run finishes. Cursor to the header's run number and searches-used.,"Done. New run, and the searches it spent."
7,2:05.72,2:18.27,125.72,138.27,"/usage. Cursor on searches-used-vs-budget, then between the two projected figures. Point, don't read numbers.","Every SerpApi call is one search. Every run records what it spent. The month, projected two ways. Everything every six hours, versus the plan cadence. About five-fold, same alerts."
8a,2:19.27,2:28.80,139.27,148.80,/settings/integrations. Destinations with per-destination minimum severity in frame.,"The Xano story. We replaced the weekly manual check across an expensive incumbent suite and a spreadsheet. Retrospective, per seat, blind to change."
8b,2:28.80,2:37.60,148.80,157.60,Hold.,"Claude did the planning, the diff engine, the analyst, the onboarding site analysis, and the XanoScript. Three people, about twenty-two hours."
8c,2:37.60,2:53.01,157.60,173.01,Cursor down the destination rows.,"The whole control plane is Xano. Auth, workspaces, alert preferences, fan-out with a delivery log, password reset, schedulers. Twenty-six XanoScript files, pushed from the repo. Without that, a bespoke service and a token story."
8d,2:54.01,2:57.56,174.01,177.56,Back to / Dashboard. Stop moving. End on the stat cards.,AdWatch. Know what your competitors did before your standup.
